measurement,term,comparison,estimate,conf.low,conf.high,adj.p.value
roughness,tile_type,Quartz-Dol,1.2019999999999995,-0.987043169329894,3.391043169329893,0.6076221094448324
roughness,tile_type,Str-Dol,0.046666666666666856,-2.1423765026632267,2.2357098359965604,0.9999999999463397
roughness,tile_type,Glass Fiber-Dol/Str,-0.10633333333333317,-2.2953765026632267,2.0827098359965603,0.9999999620423937
roughness,tile_type,Plain-Dol/Str,0.2553333333333332,-1.9337098359965603,2.4443765026632267,0.9999642291304158
roughness,tile_type,Quartz-Dol/Str,1.440666666666666,-0.7483765026632274,3.6297098359965596,0.3874203195146678
roughness,tile_type,Str-Dol/Str,0.28533333333333344,-1.90370983599656,2.474376502663227,0.9999170176590176
roughness,tile_type,Plain-Glass Fiber,0.36166666666666636,-1.8273765026632272,2.55070983599656,0.9995200954354202
roughness,tile_type,Quartz-Glass Fiber,1.5469999999999993,-0.6420431693298942,3.7360431693298928,0.3044476667190499
roughness,tile_type,Str-Glass Fiber,0.3916666666666666,-1.797376502663227,2.58070983599656,0.9991481709500888
roughness,tile_type,Quartz-Plain,1.185333333333333,-1.0037098359965606,3.3743765026632264,0.6237236329384133
roughness,tile_type,Str-Plain,0.03000000000000025,-2.1590431693298933,2.2190431693298938,0.9999999999985376
roughness,tile_type,Str-Quartz,-1.1553333333333327,-3.344376502663226,1.0337098359965609,0.6525730010255114
surfaceAreaRatio,tile_type,Bioglass-Arag,-0.06571000000000016,-0.43094020085522555,0.29952020085522524,0.9991138755709743
surfaceAreaRatio,tile_type,Ceramic-Arag,0.37619,0.010959799144774629,0.7414202008552254,0.04066161398213475
surfaceAreaRatio,tile_type,Dol-Arag,-0.11141666666666672,-0.4766468675218921,0.2538135341885587,0.9718335765714372
surfaceAreaRatio,tile_type,Dol/Str-Arag,-0.07669000000000015,-0.44192020085522554,0.28854020085522525,0.9973886796957636
surfaceAreaRatio,tile_type,Glass Fiber-Arag,-0.1190633333333333,-0.4842935341885587,0.2461668675218921,0.9589595381882694
surfaceAreaRatio,tile_type,Plain-Arag,0.04737666666666707,-0.31785353418855833,0.41260686752189246,0.9999199852919441
surfaceAreaRatio,tile_type,Quartz-Arag,0.40026000000000006,0.035029799144774665,0.7654902008552255,0.025620992897965378
surfaceAreaRatio,tile_type,Str-Arag,-0.023253333333333348,-0.38848353418855874,0.34197686752189205,0.9999996773174853
surfaceAreaRatio,tile_type,Ceramic-Bioglass,0.4419000000000002,0.07666979914477479,0.8071302008552256,0.011325506919601547
surfaceAreaRatio,tile_type,Dol-Bioglass,-0.04570666666666656,-0.41093686752189196,0.31952353418855883,0.9999389713006084
surfaceAreaRatio,tile_type,Dol/Str-Bioglass,-0.01097999999999999,-0.3762102008552254,0.3542502008552254,0.99999999916564275
surfaceAreaRatio,tile_type,Glass Fiber-Bioglass,-0.05335333333333314,-0.41858353418855854,0.31187686752189225,0.9998055354562667
surfaceAreaRatio,tile_type,Plain-Bioglass,0.11308666666666722,-0.25214353418855817,0.4783168675218926,0.969310142452056
surfaceAreaRatio,tile_type,Quartz-Bioglass,0.4659700000000002,0.10073979914477482,0.8312002008552256,0.0070263461163184715
surfaceAreaRatio,tile_type,Str-Bioglass,0.04245666666666681,-0.3227735341885586,0.4076868675218922,0.9999651424057361
surfaceAreaRatio,tile_type,Dol-Ceramic,-0.48760666666666674,-0.8528368675218921,-0.12237646581144135,0.004569079372270135
surfaceAreaRatio,tile_type,Dol/Str-Ceramic,-0.45288000000000017,-0.8181102008552256,-0.08764979914477478,0.00911187987198292
surfaceAreaRatio,tile_type,Glass Fiber-Ceramic,-0.4952533333333333,-0.8604835341885587,-0.13002313247810793,0.003924319900262874
